kTRBeltShort,Belt,Лента,Bande,Band,Cinta 
kTRTut10_6,imports depot are all now unlocked.,депо импорта стали доступны.,dépôt des importations sont désormais tous déverrouillés.,frachtexportiert werden jetzt alle freigeschaltet.,importaciones ahora están desbloqueados. Visite el
kTRTut10_7,Visit the plots depot to the right of sales.,Сходи в депо участков справа от депо продаж.,Visitez le dépôt des terrain à droite des ventes. Acheter,Besuchen sie das depot für grundstück. Kaufens sie ,depósito de tierra (a la derecha de las ventas).
kTRTut10_8,Buy a new plot of land to expand the factory.,Купи новый участок для расширения.,un nouveau terrain pour agrandir l'usine.,"ein neues grundstück, um die fabrik zu erweitern.",Compra un nuevo terreno para ampliar la fábrica.
kTRTut11_0,-- A New Horizon --,-- Новые горизонты --,-- Un Nouvel Horizon --,-- Ein Neuer Horizont --,-- Un Nuevo Horizonte --
kTRTut11_1,Welcome to you new plot of land! More room for your,Добро пожаровать в новый участок! Теперь у нас есть,Bienvenue sur votre nouveau terrain! Au lieu de vendre du,Willkommen bei ihnen neues grundstück! Mehr platz ,¡Bienvenido a tu nuevo terreno! En lugar de vender 
kTRTut11_2,"manufacturing empire to grow. Instead of selling cargo,",ещё больше места для производства. Вместо продаж,"fret, vous pouvez également le déplacer entre les terrains. ",für Ihre fertigung imperium zum wachstum.,"carga, también puede moverla entre tierras. Utilice "
kTRTut11_3,you can also move it between plots. Use belts to feed,можно перемещать товары между участками. Для,Utilisez des bandes pour acheminer la cargaisons vers le ,Sie können fracht zwischen grundstück bewegen.,cintas para alimentar la carga al depósito de
kTRTut11_4,cargo in to the exports depot in any of your plots.,этого направь товар в депо экспорта.,dépôt d'exportation dans l'une de vos terrains.,Lade fracht in ein exportdepot ein.,exportaciones en cualquiera de sus parcelas.
kTRTut11_5,Export some cargo by moving it via belts into the,Для экспорта товара направь конвейер в депо,Exportez une cargaison en la déplaçant via des bandes dans,"Exportieren sie fracht, indem sie sie in das ",Exporte la carga moviéndola al depósito de 
kTRTut11_6,exports depot (to the right of the plot depot) on,продаж (права от депо участков) на любом,le dépôt d'exportation sur n'importe quelle terrains. Le taux,exportdepot bringen. Die exportrate jeder frachtart,exportaciones. La tasa de exportación de cada tipo
kTRTut11_7,any plot. The export rate of each cargo type is,участке. Частота экспорта товара усредняется,d'exportation de chaque type de cargaison est moyenné,wird über die letzten zwei minuten gemittelt.,de carga se promedia durante los
kTRTut11_8,averaged over the previous two minutes.,за прошедшие две минуты.,sur les deux minutes précédentes.,   , dos minutos anteriores.
kTRTut12_0,-- Accessing The Goods --,-- Добыча товаров --,-- Accéder Aux Marchandises --,-- Zugriff auf die Ware --,-- Acceder a Los Bienes --
kTRTut12_1,"Now that you're exporting cargo, let's look at imports too.",Теперь когда экспорт настроен давай заниматься,"Maintenant que vous exportez du fret, regardons les import.",Nun zum import. Gehen Sie zu einem anderen ,Importemos también. Vaya a una parcela diferente y
kTRTut12_2,"Go to a different plot and visit the imports depot,",импортом. Пойдём на другой участок и посетим там,"Allez dans une autre terrain et visitez le dépôt d'importation,",grundstück und besuchen sie das importdepot. Sie ,"visite el depósito de importaciones, puede importar"
kTRTut12_3,you can import up to four cargo per plot.,депо импорта. На участке можно импортировать 4 ,vous pouvez importer jusqu'à quatre cargaisons par terrain.,können bis zu vier fracht pro grundstück importieren.,hasta cuatro cargas por parcela. Intente configurar 
kTRTut12_4,Try setting up an import now.,вида товара максимум. Давай настроем импорт.,Configurez une importation maintenant.,"Versuchen sie jetzt, einen import einzurichten.",una importación ahora.
kTRTut12_5,Import some cargo in a different plot via the imports,Импортируй товар на другом участке через депо,Importez des marchandises dans une terrain différente,Importieren sie fracht in einem anderen grundstück,Importe algo de carga en un terreno diferente. Las
kTRTut12_6,"depot (right of the exports depot). N, S, E, W",импорта (справа от депо экспорта). Можно выбрать,"via le dépôt. Les importations N, S, E, O peuvent être ","über das importdepot. N, S, O, W importe können ","importaciones N, S, E, O se pueden elegir"
kTRTut12_7,imports can be individually chosen. You cannot export a,"С, Ю, З, В. Нельзя экспортировать то, что",individuellement. Vous ne pouvez pas exporter un type de ,individuell ausgewählt werden. Sie können keine fracht,individualmente. No puede exportar un tipo de carga
kTRTut12_8,cargo type which is being imported to the same plot.,импортируется тут же.,cargaison qui est importé dans le même tracé.,"exportieren, die in denselben grunds. importiert wird.",que se está importando a la misma terreno.
kTRTut13_0,-- Imports & Exports & Plots --,"-- Импорт, экспорт и участки --",-- Importations & Exportations & Terrains --,-- Importe und Exporte und Grundstück --,-- Importaciones y Exportaciones y Terreno --
kTRTut13_1,Wonderful! Continue to buy more plots in order to,Прекрасно! Покупай больше участков чтобы,Merveilleux! Continuer à acheter plus de terrains afin,"Wunderbar! Kaufen sie weiterhin mehr grundstück, ",¡Maravilloso! Continúe comprando más terreno para
kTRTut13_2,access new soil types and to expand the factory.,производство имело доступ к другим почвам. Для,d'accéder à de nouveaux types de sols et d'agrandir l'usine.,um zu neuen bodentypen und um die fabrik zu ,acceder a nuevos tipos de suelo y ampliar la fábrica. 
kTRTut13_3,Use the export and import depots to move cargo,передвижения товара между участками используй,Utilisez les dépôts d'exportation et d'importation pour ,erweitern. Verwenden sie die export- und ,Utilice la exportación y las importaciones para mover 
kTRTut13_4,"between plots, and continue to maximize efficiency!",депо импорта и экспорта. И делай деньги!,déplacer la cargaison entre les terrains!,importdepots und maximieren sie effizienz!,"la carga, ¡continúe maximizando la eficiencia!"
kTRConvTransitN,North,Север,Nord,Norden,Norte
kTRConvTransitE,East,Восток,Est,Ost,Este
kTRConvTransitS,South,Юг,Sud,Süd,Sur
kTRConvTransitW,West,Запад,Ouest,West,Oeste
kTRConvSpeed,Speed Multiplier,Множитель скорости,Multiplicateur de Vitesse,Geschwindigkeitsmultiplikator,Multiplicador de velocidad
kTRConvNoFilter0,Filter not yet set.,Фильтр ещё не установлен.,Filtre pas encore défini.,Filter noch nicht gesetzt.,Filtrar aún no configurado.
kTRConvNoFilter1,Pass cargo through to set the filter.,Пропусти груз чтобы настроить фильтр.,Passez la cargaison pour régler le filtre.,"Fracht passieren, um den filter einzustellen.",Pase la carga para configurar el filtro.
kTRConvFilter,Filters On,Фильтр включён,Filtre,Filter auf,Filtros
kTRConvNextTransit,Next Transit,Следующий транзит,Transit Suivant,Nächster Transit,Siguiente Tránsito
kTRExtractorHopper,Hopper %i/3,Используется %i/3,Trémie %i/3,Trichter %i/3,Tolva %i/3
kTROut,Out,Выход,Sortie,Raus,Fuera
kTRFacFlavIngredients,Ingredients:,Ингредиенты:,Ingrédients:,Zutaten:,Ingredientes:
kTRFacFlavGlycerin,Glycerin,Глицерин,Glycérine,Glycerin,Glicerina
kTRFacFlavBeta,Beta,Бета,Bêta,Beta,Betacaroteno
kTRFacFlavCarotene ,Carotene,Каротин,Carotène,Carotin, 
kTRFacFlavSoy,Soy,Соя,Soja,Soja,Soja
kTRFacFlavLecithin,Lecithin,Лецитин,Lécithine,Lecithin,Lecitina
kTRFacFlavCalCarbonate0,Calcium,Кальций,Carbonate,Kalziumkarbonat,Carbonato
kTRFacFlavCalCarbonate1,Carbonate,Карбонат,de Calcium, ,de Calcio
kTRFacFlavStabilizers,Stabilizers,Стабилизаторы,Stabilisants,Stabilisatoren,Estabilizadores
kTRFacFlavPreservatives,Preservatives,Консерванты,Conservateurs,Konservierungsstoffe,Conservantes
kTRFacFlavArtificialFlav0,Artificial,Искусственные,Arômes,Künstliche,Sabores
kTRFacFlavArtificialFlav1,Flavorings,ароматизаторы,Artificiels,Aromen,Artificiales
kTRFacFlavDistilled,Distilled,Дистилл.,Alcool,Destilliert,Alcohol
kTRFacFlavVegetable,Vegetable,Растит.,Végétal,Gemüse,Aegetal
kTRFacFlavAlcohol,Alcohol,Алкоголь,Distillé,Alkohol,Destilado
kTRFacFlavAppleJuice0,Apple,Яблочный,Jus,Apfel,Jugo
kTRFacFlavAppleJuice1,Juice,сок,de Pomme,Saft,de Manzana
kTRFacFlavArtificialColoring0,Artificial,Искусственный,Colorant,Künstliche,Colorantes
kTRFacFlavArtificialColoring1,Coloring,краситель,Artificiel,Farbstoffe,Artificiales
kTRFacFlavAnimalFeed,Animal Feed:,Корм для животных:,L'alimentation animale:,Tierfutter:,Alimentación animal
kTRFacFlavHormones,Hormones,Гормоны,Hormones,Hormone,Hormonas
kTRFacFlavSteroids,Steroids,Стероиды,Stéroïdes,Steroide,Esteroides
kTRFacFlavProcess,Process: ,Процесс: ,Processus:,Verfahren:,Proceso:
kTRFacFlavElectrolysis0,Electrolysis,Электролиз,Électrolyse,Elektrolyse,Electrólisis
kTRFacFlavElectrolysis1,of,воды,de,von,de
kTRFacFlavElectrolysis2,water,,l'eau,Wasser,Agua
kTRFacFlavSunset,Sunset,Оранжевый,Sunset,Sonnenuntergang,Puesta de
kTRFacFlavOrange,Orange,закат,Orange,Orange,Sol Naranja
kTRFacFlavHydrogenatedOil0,Hydrogenated,Гидрогенизированное,Huile,Hydriertes,Aceite
kTRFacFlavHydrogenatedOil1,Oil,масло,Hydrogénée,Öl,Hidrogenado
kTRFacFlavHopOil0,Hop,Хмельное,Huile de,Hopfenöl,Aceite
kTRFacFlavHopOil1,Oil,масло,Houblon, ,de Lúpulo
kTRFacFlavAgave,Agave,Агава,Agave,Agave,Agave
kTRFacFlavHFCS0,High,Кукуруз.,Sirop,Maissirup,Jarabe
kTRFacFlavHFCS1,Fructose,сироп,de Maïs,mit,de Maíz
kTRFacFlavHFCS2,Corn,из высш.,à Forte,Hohem,con Alta
kTRFacFlavHFCS3,Syrup,фруктозы,Fructose,Fruchtzuckergehalt,Fructuosa
kTRFacFlavAnticakingAgents0,Anticaking,Антислеживающие,Antiagglomérants,Antibackmittel,Agentes
kTRFacFlavAnticakingAgents1,Agents,агенты, , ,Antiaglomerantes
kTRFacFlavAntibiotics,Antibiotics,Антибиотики,Antibiotiques,Antibiotika,Antibióticos
kTRFacFlavDewormer,Dewormer,Дегельминтик,Vermifuge,Entwormer,Desparasitante
kTRFacFlavInsecticides,Insecticides,Инсектициды,Insecticides,Insektizide,Insecticidas
kTRFacFlavGlutamicAcid,Glutamic acid,Глутаминовая кислота,Acide Glutamique,Glutaminsäure,Ácido Glutamico
kTRFacFlavSodium,Sodium,Натрий,Sodium,Natrium,Sodio
kTRFacFlavMSG0,Monosodium,Глутамат,Glutimate,Mononatriumglutamat,Glutamato
kTRFacFlavMSG1,Glutamate,натрия,Monosodique, ,Monosódico
kTRFacFlavRequirements,Requirements: ,Необходимо: ,Exigences:,Anforderungen:,Requisitos:
kTRFacFlavSolvent,Solvent,Растворитель,Solvant,Lösungsmittel,Solvente
kTRFacFlavTitaniumDioxide0,Titanium,Диоксид,Dioxyde,Titandioxid,Dióxido
kTRFacFlavTitaniumDioxide1,Dioxide,титана,de Titane, ,de Titanio
kTRFacFlavBleach,Bleach,Хлорка,Eau de Javel,Bleichen,Lejía
kTRFacFlavFruitSyrup0,Fruit,Фруктовый,Sirop,Fruchtsirup,Jarabe
kTRFacFlavFruitSyrup1,Syrup,сироп,de Fruits,,de Frutas
kTRFacFlavPack,Pack Content: ,Требуется:,Contenu de l'emballage:,Packinhalte:,Contenido de Paquete:
kTRFacFlavBox,Box,Ящик ,Boîte,Kasten,Caja
kTRFacFlavFormaldehyde,Formaldehyde,Формальдегид,Formaldéhyde,Formaldehyd,Formaldehído
kTRFacFlavStarch,Starch,Крахмал ,Amidon,Stärke,Almidón
kTRFacProdTime,Prod. Time: %ss,Производство: %sсек,Temps de Prod.: %ss,Produktionszeit: %ss,Tiempo de Prod.: %ss
kTRFacTimeRemaining,Time Remaining: %ss,Осталось: %sсек,Temps Restant: %ss,Verbleibende Zeit: %ss,Tiempo Restante: %ss
kTRFacIn,In %i,Вход %i,En %i,Im %i,En %i
kTRPlantLikes,Likes,Любит,Aime,Mag,Gusta
kTRPlantHas,Has,Есть,A,Hat,Tiene
kTRPlantCannotGrow,Cannot Grow Here!,Нельзя посадить здесь,Ne peut pas grandir ici!,Kann hier nicht wachsen!,¡No puedo crecer aquí!
kTRPlantGrowTime,Grow Time: %is,Время поспевания: %iсек,Temps de Croissance: %is,Wachstumszeit: %is,Tiempo de crecer: %is
kTRPlantHarvest,Harvest to grow,Урожай для посадки,Récolte pour pousser,Ernte um zu wachsen,Cosecha para crecer
kTRPlantTimeLeft,Time Remaining: %is,Времени осталось: %iсек,Temps Restant: %is,Verbleibende Zeit: %is,Tiempo restante: %is
kTRSpecialShop0,"Spend money to buy new Crops, Conveyors,","Покупай новую рассаду, конвейеры,",Dépenser de l'argent pour acheter de nouvelles,"Geld ausgeben, um neue pflanzen zu kaufen, förderer,","Gaste dinero para comprar nuevos cultivos,"
kTRSpecialShop1,"Extractors, Factories, and Utility items.","харвестеры, фабрики и вспомогательные","cultures, transporteuses, extracteures, usines et ","auszieher, fabriken und nutzenartikel.","transportadores, extractores,"
kTRSpecialShop2,     ,предметы.,articles de services publics.,     ,fábricas y artículos de utilidad.
kTRSpecialShop3,     ,     ,     ,     ,     
kTRSpecialSales0,"Sell Cargo from your inventory, or use",Продавай груз из инвентаря или,Vendez des marchandises à partir de votre inventaire,Verkaufen sie fracht aus ihrem inventar oder ,Venda carga desde su inventario o use
kTRSpecialSales1,conveyors to automate the sales.,используй конвейеры для автоматических,ou utilisez des transporteuses pour automatiser les,"verwenden sie förderer, um den umsatz zu",transportadores para automatizar las ventas.
kTRSpecialSales2,Receive money for every sold item.,продаж. Получай деньги за каждый проданный,ventes. Recevez de l'argent pour chaque article vendu.,automatisieren. Erhalten sie geld für jeden ,Recibe dinero por cada artículo vendido.
kTRSpecialSales3,     ,товар.,     ,verkauften artikel.,     
kTRSpecialWarp0,View available plots of land.,Узнай какие участки есть.,Voir les terrains disponibles.,Ansicht verfügbare Grundstücke. Kaufen sie neue,Ver terrenos disponibles. 
kTRSpecialWarp1,Buy new plots to expand your factory.,Покупай новые участки для расширения,Acheter de nouvelles parcelles pour agrandir votre,"handlungen, um ihre fabrik zu erweitern.",Compra nuevas parcelas para ampliar tu fábrica. 
kTRSpecialWarp2,Move between your owned plots.,производства. Перемещайся между участками.,usine. Déplacez-vous entre vos parcelles possédées.,Bewegen sie sich zwischen ihren eigenen handlungen.,Muévase entre las parcelas de su propiedad.
kTRSpecialWarp3,     ,     ,     ,     ,     
kTRSpecialExport0,Export cargo for use in other plots.,Экспорт позволяет использовать товар в других,Exporter la cargaison pour l'utiliser dans d'autres,Ladung für die verwendung in anderen grundstück ,Carga de exportación para uso en otras tierra.
kTRSpecialExport1,Exports are averaged over 60s - 120s.,участках. Экспорт устредняется за 60 - 120 сек.,parcelles. Les exportations sont en moyenne sur 60s,exportieren. Die exporte werden über die 60s bis 120s,Las exportaciones tienen un promedio de 60 a 120 años.
kTRSpecialExport2,You cannot export any cargo which is also being,"Нельзя экспортировать то, что уже импортируется.",- 120s. Vous ne pouvez pas exporter de cargaison qui,"Jahre gemittelt. Sie können keine fracht exportieren, ",No puede exportar ninguna carga que también
kTRSpecialExport3,imported into this plot.,     ,est également importée dans cette parcelle.,die ebenfalls ist in diese handlung importiert.,se importe a esta parcela.
kTRSpecialImport0,Import cargo from other plots. You can select an,Импорт позволяет использовать товар из других,Importez des cargaisons d'autres parcelles. Vous,Ladung aus anderen handlungen importieren. Sie,Importación de carga de otras tierras. Una
kTRSpecialImport1,import for each of the 4 cardinal directions.,участков. Импортировать можно в любом из 4-х ,pouvez sélectionner une importation pour chacune ,können eine auswählen importieren sie für jede der 4,importación para cada uno de los 4 puntos
kTRSpecialImport2,"Imports occur every 10s, the amount imported",направлений. Импорт происходит каждый,"des 4 dir. cardinales. Les importations ont lieu toutes,",kardinalanweisungen. Importe erfolgen alle 10s.,cardinales. La cantidad importada depende del
kTRSpecialImport3,depends on the total number of importers.,10 сек. Кол-во имп. зависит от кол-ва импортёров.,les 10s. la quantité imp. dépend du n. total d'import.,Die import. menge hängt von der anzahl der import. ab.,número total de importadores.
kTRSpecialRock0,A large boulder blocks the ground here.,Огромный валун просто стоит тут без дела.,Un grand rocher bloque le sol ici.,Ein großer felsbrocken blockiert hier den boden.,Una gran roca bloquea el suelo aquí.
kTRSpecialRock1,Maybe it will become important later on?,Может он понадобится в будущем?,Peut-être que cela deviendra important plus tard?,Vielleicht wird es später wichtig?,¿Quizás se volverá importante más adelante?
kTRSpecialRock2,     ,     ,     ,     ,     
kTRSpecialRock3,     ,     ,     ,     ,     
kTRUtilityPath,Movement speed is enhanced on the path.,По тропинке ходится быстрее.,La vitesse de déplacement est améliorée sur l'allée.,Bewegen sie sich schneller auf dem pfad,La velocidad de movimiento se mejora en el camino.
kTRUtilityFence,A charming fence.,Очаровательный забор.,Une clôture charmante.,Ein charmanter zaun.,Una cerca encantadora.
kTRUtilityRetirement,Your cozy little retirement cottage.,Твоя уютная дача для пенсии.,Votre petit maison de retraite confortable.,Ihr gemütliches kleines ruhestandshütte.,Tu acogedora cabaña de jubilación.
kTRUtilitySign0,Place a cargo here to display it on the sign.,Засунь товар чтобы отобразить его на знаке.,Placez une cargaison ici pour l'afficher sur le signer.,"Platzieren sie fracht, um sie anzuzeigen.",Coloque una carga aquí para mostrarla en el letrero.
kTRUtilitySign1,Sign for,Знак,Signer pour,Unterschreibe für,Letrero para
kTRUtilityBin0,Permanently erases unwanted cargo.,Уничтожает ненужный товар.,Effacer définitivement le cargaison indésirable.,Löscht dauerhaft unerwünschte fracht.,Borra permanentemente la carga no deseada.
kTRUtilityBin1,"Drop the unwanted cargo, or use conveyors.",Просто брось в неё груз руками или конвейером.,Déposez la cargaison indésirable ou utilisez des bande,Lassen sie die unerwünschte fracht fallen.,Deje caer la carga no deseada o use transportadores.
kTRUtilityRotavator0,Converts the 8 surrounding tiles to loamy soil.,Превращает 8 блоков вокруг в суглинистую,Convertit les 8 carreaux environnants en sol,Konvertiert die 8 umliegenden fliesen in lehmigen,Convierte las 8 baldosas circundantes en tierra
kTRUtilityRotavator1,Removing the rotavator will revert these tiles,почву. При удалении ротоватора почва,Le retrait du rotavator reviendra des ,"boden. Entferne die bodenfräse, um das land ","arcillosa. Al quitar el rotavator, estas baldosas "
kTRUtilityRotavator2,to their previous soil type.,вернётся к старому типу.,carreaux à leur type de sol précédent.,wiederherzustellen.,volverán a su tipo de suelo anterior.
kTRUtilityFactoryUpgrade0,Reduces production time in any factory,Уменьшает время производства на любой фаб-,Réduit le temps de production dans n'importe quelle,Reduziert die produktionszeit in jeder fabrik,Reduce el tiempo de producción en cualquier fábrica
kTRUtilityFactoryUpgrade1,"immediately N, S, E or W of the module.",рике моментально с любой стороны от модуля.,"usine immédiatement N, S, E ou O du module.","Sofort N, S, O oder W des moduls.","inmediatamente al N, S, E o O del módulo."
kTRUtilityFactoryUpgrade2,1 Module: -0.5s,1 модуль: -0.5сек,"1 module: -0,5s","1 Modul: -0,5s",1 Módulo: -0.5s
kTRUtilityFactoryUpgrade3,2 Modules: -0.75s,2 модуля: -0.75сек,"2 modules: -0,75s","2 Module: -0,75s",2 Módulos: -0.75s
kTRUtilityFactoryUpgrade4,3+ Modules: -1s,3+ модуля: -1сек,3+ modules: -1s,3+ Module: -1s,3+ Módulos: -1s
kTRUtilityFactoryUpgrade5,    ,    ,    ,     , 
kTRUtilityWell,Creates a surrounding area of wet and moist soil.,Делает почву вокруг мокрой и влажной.,Crée une zone de sol détrempé et de sol humide.,Schafft nassen und feuchten boden.,Crea un área circundante de suelo húmedo y de mojado.
kTRUtilityStorage,Compartment %i/3,Используется %i/3,Compartiment %i/3,Abteil %i/3,Compartimento %i/3
kTRUIExportExporting,Exporting,Экспортируем,Exportation,Exportieren,Exportador
kTRUIExportThisPlot,This Plot: %s/s,Этот участок: %s/сек,Ce: %s/s,Hier: %s/s,Esta: %s/s
kTRUIExportAllPlots,All Plots: %s/s,Все участки: %s/сек,Tous: %s/s,Alle: %s/s,Todas: %s/s
kTRUIImportOf,Import of,Импорт,Importation de,Einfuhr von,Importación de
kTRUIImporters,Importers: %i,Импортёров: %i,Importateurs: %i,Importeure: %i,Importadores: %i
kTRUIImported,Imported: %s/s,Импортировано: %s/сек,Importé: %s/s,Importiert: %s/s,Importado: %s/s
kTRUIInventoryPlant,Plant,Пос.,Planter,Setzen,Planta
kTRUIInventoryPlace,Place,Разм.,Placer,Setzen,Lugar
kTRUIInventoryBuild,Build,Постр.,Bâtir,Bauen,Lugar
kTRInventory,Inventory: %i,Инвентарь: %i,Inventaire: %i,Inventar: %i,Inventario: %i
kTRUIInventoryValue,Value,Значение,Valeur,Wert,Valor
kTRUIInventoryBuildOn,Build on,Построить на,Bâtir sur,Bauen auf,Lugar Sobre
kTRUIInventoryBuildOnWater,Build on Water,Построить на воде,Bâtir sur l'eau,Auf wasser bauen,Lugar Sobre el Agua
kTRUIInventorySowOnWater,Sow on Water,Посеять на воде,Semer sur l'eau,Auf wasser säen,Sembrar en el Agua
kTRUIInventoryPlaceInOcean,Place in the Ocean,Расположить в океане,Placer dans l'océan,Platz in den ozean,Lugar en el Océano
kTRUIInventoryCannotRemove,Cannot be removed,Нельзя удалить,Pas de Suppression,Kann nicht entfernen,No se Puede Quitar
kTRUIInventoryBuildOnPlains,Build on Tranquil Plains,Строить на равнине,Bâtir sur les plain. tranq.,Auf ruhigen Ebenen Bauen,Lugar Sobre Llan. Tranq.
kTRNewBelt,"Moves cargo North, South, East or West","Двигает товар на север, юг, восток или запад","Déplace la cargaison au nord, sud, est ou à l'ouest","Bewegt fracht nach Norden, Süden, Osten, Westen","Mueve la carga norte, sur, este o oeste"
kTRNewSplit2_180,Splits incoming cargo 2 ways (180 degrees),Распределяет линию надвое под 180 градусов,Séparer la cargaison 2 voies (180 degrés),Spaltet eingehende fracht 2 wege (180 Grad),Divide la carga entrante de 2 maneras (180 grados)
kTRNewSplit2_90,Splits incoming cargo 2 ways (90 degrees),Распределяет линию надвое под 90 градусов,Séparer la cargaison 2 voies (90 degrés),Spaltet eingehender fracht 2 wege (90 Grad),Divide la carga entrante de 2 maneras (90 grados)
kTRNewSplit3,Splits incoming cargo 3 ways,Распределяет линию на три,Séparer la cargaison de 3 manières,Spaltet eingehender fracht 3 wege,Divide la carga entrante de 3 maneras
kTRNewOverflow,Overflow used when main exit is blocked,Перенаправляет движение в случае пробки,Ne déborde que lorsqu'il est bloqué,Läuft nur bei obstruktion über,Solo se desborda cuando está bloqueado
kTRNewFilter,Filters on the first cargo to pass over,Фильтрует по виду первого товара,Filtre sur la première cargaison pour passer,"Filtert auf die erste fracht, die übergeht",Filtros en la primera carga en pasar
kTRNewTunnel,Moves cargo underground for 1 tile,Двигает товар под землёй на 1 ячейку,Déplace la cargaison sous terre pour 1 tuile,Bewegt fracht unter der erde für 1 plättchen,Mueve la carga subterránea por 1 mosaico
kTRNewCarrotPlant,Plant to grow carrots,Посади чтобы вырастить морковь,Plantez pour faire pousser des carottes,"Pflanze, um karotten anzubauen",Planta para cultivar zanahorias
kTRNewSunflowerPlant,Plant to harvest sunflowers,Посади чтобы вырастить полсолнухи,Plante à récolter des tournesols,"Pflanze, um sonnenblumen zu ernten",Planta para cosechar girasoles
kTRNewPotatoPlant,Plant to grow potatoes,Посади чтобы вырастить картошку,Plantez pour cultiver les pommes de terre,"Pflanze, um kartoffeln anzubauen",Planta para cultivar papas
kTRNewAppleTree,Plant to grow apples,Посади чтобы вырастить яблоки,Planter pour faire pousser des pommes,"Pflanze, um äpfel anzubauen",Planta para cultivar manzanas
kTRNewCornPlant,Plant to grow corn,Посади чтобы вырастить кукурузу,Planter pour faire pousser du maïs,"Pflanze, um mais anzubauen",Planta para cultivar maíz
kTRNewSeaweedPlant,Seaweed grows in lakes,Водоросли растут в озёрах,Les algues poussent dans les lacs,Seetang wachsen in Seen,Algas crece en lagos
kTRNewWheatPlant,Plant to grow wheat,Посади чтобы вырастить пшеницу,Planter pour faire pousser du blé,"Pflanze, um weizen anzubauen",Planta para cultivar trigo
kTRNewCactusPlant,Plant to grow cacti,Посади чтобы вырастить кактус,Planter pour faire pousser des cactus,"Pflanze, um kakteen zu züchten",Planta para cultivar cactus
kTRNewLimeTree,Plant to grow limes,Посади чтобы вырастить лайм,Planter pour faire pousser des citrons vert,"Pflanze, um limetten zu züchten",Planta para cultivar limas
kTRNewStrawberryPlant,Plant to grow strawberries,Посади чтобы вырастить клубнику,Planter pour faire pousser des fraises,"Pflanze, um erdbeeren anzubauen",Planta para cultivar fresas
kTRNewCocoaPlant,Plant to grow coco beans,Посади чтобы вырастить какао-бобы,Planter pour faire pousser les fèves de cacao,"Pflanze, um kokosbohnen anzubauen",Planta para cultivar grano de cacao
kTRNewCoffeePlant,Plant to grow coffee beans,Посади чтобы вырастить кофейные бобы,Planter pour faire pousser des grains de café,"Pflanze, um kaffeebohnen anzubauen",Planta para cultivar granos de café
kTRNewBambooPlant,Plant to grow bamboo stalks,Посади чтобы вырастить бамбук,Planter pour faire pousser des tiges de bambou,"Pflanze, um bambusstiele zu züchten",Planta para cultivar tallos de bambú
kTRNewSeaCucumberPlant,Place in the ocean to farm sea cucumbers,Посади в океане - будут морские огурцы,Cultiver des concombres de mer dans l'océan,"Im ozean platzieren, um seegurken zu züchten",Lugar en el océano para cultivar pepinos de mar
kTRNewRosePlant,Tend to these roses in your retirement,Есть чем заняться на пенсии,Occupez-vous de ces roses pendant votre retraite,Kümmere dich in deinem ruhestand um diese rosen,Cuida estas rosas en tu jubilación
kTRNewPath,Movement speed is enhanced while on a path,Быстро ходишь по ней,La vitesse est améliorée sur le chemin,Bewegen sie sich schneller auf einem pfad,Se mejora la velocidad en el camino
kTRNewSign,Displays a cargo of your choosing,Отображает груз по желанию,Affiche une cargaison de votre choix,Zeigt eine fracht ihrer wahl an,Muestra una carga de su elección
kTRNewBin,Cargo placed here will be destroyed,Тут можно уничтожить товар,La cargaison placée ici sera détruite,Hier platzierte fracht wird zerstört,La carga colocada aquí será destruida
kTRNewWell,Place to dampen the surrounding soil,Увлажняет почву вокруг,Endroit pour humidifier le sol environnant,"Ort, um den umgebenden boden zu befeuchten",Lugar para humedecer el suelo circundante
kTRNewStorageBox,Stores up to 3 different types of cargo,Хранит до 3 различных видов товара,Stocke jusqu'à 3 types de cargaison différents,Speichert bis zu 3 verschiedene arten von fracht,Tiendas de hasta 3 tipos diferentes de carga
kTRNewBuffferBox,"Like the storage box, but also self-empties","Как ящик, но ещё самоочищается",Une boîte de rangement qui se vide,"Wie die lagerbox, aber auch selbstleerend",Una caja de almacenamiento de vaciado
kTRNewFactoryUpgrade,"Place next to factories, speeds up production",Ускоряет фабрику когда стоит рядом,"Placer à côté des usines, accélère la production","Platz neben fabriken, beschleunigt die produktion","Coloque junto a las fábricas, acelera la producción"
kTRNewConveyorGrease,Upgrades conveyor speed from x1 to x2,Ускоряет конвейер вдвое,Améliore la vitesse du transporteuses de x1 à x2,Erhöht die förderbandgeschwindigkeit von x1 auf x2,Actualiza la velocidad del transportador de x1 a x2
kTRNewObstructionRemover,"Clears obstructed ground, which can then be built on",Расчищает занятую территорию,Effacer les obstacles (peut ensuite être construit),Hindernisse beseitigen (kann dann bebaut werden),Obstáculos despejados (luego se pueden construir)
kTRNewLandfill,"Fills in water. Can be built on, but not planted on","Заполняет воду. Можно строить, не сажать","Récupérer la terre. Pour construire, pas planter.","Stellt land wieder her. Bauen, nicht pflanzen","Recuperar la tierra. Para construir, no para plantar"
kTRNewRotavator,Turns nearby land into loamy soil,Превращает почву в суглинистую,Transforme les terres à proximité en sol limoneux,Verwandelt benachbarte plättchen in lehmige erde,Convierte la tierra cercana en suelo arcilloso
kTRNewRetirement,A relaxing space to enjoy your amassed wealth,Место для отдыха и наслаждения,Un gîte de détente pour profiter de vos richesses,Genießen sie ihren angesammelten reichtum,Un espacio relajante para disfrutar de su riqueza
